LAT	LON	YEAR	DOY	AOD_55	AOD_84	AIRMASS	ALLSKY_KT	CLRSKY_DAYS	CLRSKY_KT	CLRSKY_SRF_ALB	CLOUD_AMT	CLOUD_AMT_DAY	CLOUD_AMT_NIGHT	CLOUD_OD	CDD0	CDD10	CDD18_3	TS	TS_MAX	TS_MIN	U10M	HDD0	HDD10	V10M	PW	PRECTOTCORR	RH2M	QV10M	RHOA	PS	Z0M	T2M	T2M_MAX	T2M_MIN	T2M_RANGE	TQV	TROPPB	TROPQ	TROPT	T2MWET	WD2M	WS2M	WS2M_MAX	WS2M_MIN	WS10M	WS10M_MAX	WS10M_MIN	WS50M	WS50M_MAX	WS50M_MIN
34.5	-22.5	2023	1	0.03	0.03	5.19	0.64	0	0.72	0.13	79.52	67.91	87.81	1.34	16.31	6.31	0	18.23	18.35	18.16	1.4	0	0	-6.33	1.39	0.05	69.12	7.34	1.23	102.31	0	16.39	16.67	15.95	0.72	13.81	22.22	0.02	-59.93	13.56	347.7	5.92	8.39	3.96	6.74	9.81	4.36	7.25	10.8	4.54
34.5	-17.5	2023	1	0.08	0.07	4.7	0.58	0	0.68	0.12	83.52	61.14	99.5	2.69	18.02	8.02	0	19.55	19.57	19.53	3.32	0	0	-3.66	2.2	2.95	76.75	9.05	1.22	102.08	0	17.55	19.89	16.16	3.73	19.16	21.24	0.02	-61.44	15.49	319.6	7.25	10.16	4.49	8.42	12.28	4.94	9.32	14.47	5.13
35.5	-22.5	2023	1	0.03	0.03	5.48	0.6	0	0.71	0.13	79.38	72.99	83.94	1.41	15.72	5.72	0	18.41	18.49	18.34	2.79	0	0	-5.94	1.31	0.03	68.92	7.01	1.23	102.31	0	15.79	16.03	15.41	0.62	13.33	23.68	0.02	-58.7	12.96	335.1	5.91	8.03	3.71	6.69	9.34	4.04	7.18	10.26	4.17
35.5	-17.5	2023	1	0.08	0.07	5	0.57	0	0.69	0.12	85	64.33	99.76	3.01	16.71	6.71	0	18.49	18.54	18.46	3.78	0	0	-4.74	1.9	2.39	77.1	8.37	1.23	102.06	0	16.29	18.28	15.14	3.14	17.95	22.4	0.02	-60.06	14.27	322.1	6.6	9.78	3.81	7.6	11.6	4.15	8.34	12.91	4.29
36.5	-22.5	2023	1	0.04	0.03	5.77	0.53	0	0.71	0.13	79.78	78.76	80.5	1.92	14.9	4.9	0	17.82	17.88	17.77	4.01	0	0	-5.56	1.27	0.06	68.64	6.62	1.24	102.3	0	15.02	15.31	14.5	0.81	12.83	24.88	0.02	-57.63	12.17	324.3	6.08	8.3	3.37	6.91	9.67	3.64	7.44	10.64	3.76
36.5	-17.5	2023	1	0.06	0.05	5.31	0.66	0	0.7	0.13	75.71	42.23	99.62	2.19	15.23	5.23	0	18.14	18.19	18.04	4.38	0	0	-5.04	1.7	1.58	75.97	7.65	1.23	102.05	0	15.32	15.87	14.6	1.27	16.55	23.49	0.02	-58.68	13.21	319.3	6.31	8.73	3.03	7.2	10.25	3.25	7.79	11.21	3.36
37.5	-22.5	2023	1	0.04	0.03	3.64	0.58	0	0.7	0.13	78.11	68.83	83.67	1.56	14.26	4.26	0	17.21	17.23	17.2	4.96	0	0	-4.96	1.25	0.09	68.94	6.37	1.24	102.26	0	14.33	14.67	13.85	0.82	12.47	25.56	0.02	-57.21	11.53	315	6.21	8.52	3.26	7.07	9.94	3.52	7.64	10.96	3.66
37.5	-17.5	2023	1	0.06	0.05	5.65	0.64	0	0.7	0.13	71.99	37.95	96.31	2.35	14.34	4.34	0	16.97	17	16.93	5.2	0	0	-4.42	1.51	0.93	74.89	7.09	1.24	102.02	0	14.41	14.92	13.76	1.16	15.34	24.81	0.02	-56.88	12.2	310.5	6.16	8	3.14	7.03	9.3	3.37	7.62	10.16	3.51
38.5	-22.5	2023	1	0.04	0.04	3.86	0.6	0	0.7	0.13	71.2	59.13	78.44	1.79	13.82	3.82	0	16.86	16.88	16.81	5.72	0	0	-4.4	1.23	0.14	69.84	6.23	1.24	102.2	0	13.82	14.16	13.48	0.68	12.33	25.1	0.03	-57.7	11.13	307.4	6.46	8.81	3.78	7.37	10.3	4.11	7.98	11.35	4.32
38.5	-17.5	2023	1	0.05	0.04	6.02	0.64	0	0.69	0.13	69.39	39.16	90.99	2.52	13.79	3.79	0	16.54	16.56	16.53	5.99	0	0	-3.93	1.4	1.66	74.43	6.8	1.24	101.97	0	13.91	14.28	13.3	0.98	14.37	25.81	0.02	-55.43	11.67	303.3	6.34	7.44	3.57	7.24	8.6	3.88	7.85	9.4	4.06
